Address,Latitude,Longtitude
1,10.69978,106.73261
2,10.70507,106.73554
3,10.70730,106.72807
4,10.72989,106.72447
5,10.73082,106.63593
6,10.73201,106.62315
7,10.73267,106.65636
8,10.73996,106.60542
9,10.74049,106.73881
10,10.74352,106.62551
11,10.74354,106.73209
12,10.74452,106.68403
13,10.74527,106.64127
14,10.75353,106.63577
15,10.75424,106.66245
16,10.75566,106.68434
17,10.75736,106.61941
18,10.75904,106.66495
19,10.75924,106.60672
20,10.76015,106.64402
21,10.76226,106.70738
22,10.76300,106.67533
23,10.76522,106.66450
24,10.76594,106.67059
25,10.76635,106.64809
26,10.76701,106.68402
27,10.76785,106.70060
28,10.76806,106.67260
29,10.76978,106.63287
30,10.77080,106.64542
31,10.77306,106.69179
32,10.77375,106.65288
33,10.77442,106.61967
34,10.77568,106.68358
35,10.77854,106.62708
36,10.77884,106.76435
37,10.77930,106.69114
38,10.78091,106.68550
39,10.78108,106.68833
40,10.78116,106.69363
41,10.78369,106.64826
42,10.78796,106.62554
43,10.78963,106.64267
44,10.79013,106.65876
45,10.79271,106.67079
46,10.79450,106.68354
47,10.79595,106.69534
48,10.79609,106.64037
49,10.79835,106.66831
50,10.79960,106.65256
51,10.80131,106.62012
52,10.80346,106.63150
53,10.80473,106.68766
54,10.80650,106.66893
55,10.80663,106.71767
56,10.80779,106.69468
57,10.81083,106.70709
58,10.81425,106.68994
59,10.81556,106.62520
60,10.81586,106.68003
61,10.81913,106.59529
62,10.81924,106.69124
63,10.82409,106.76957
64,10.82410,106.72923
65,10.82578,106.64195
66,10.82898,106.61887
67,10.83240,106.68354
68,10.83242,106.64315
69,10.83546,106.66637
70,10.83695,106.63602
71,10.84321,106.65245
72,10.84479,106.67759
73,10.84656,106.66458
74,10.84809,106.59010
75,10.84849,106.74727
76,10.84867,106.72043
77,10.85025,106.76787
78,10.85235,106.65994
79,10.85351,106.79293
80,10.85773,106.75119
81,10.86894,106.76946
82,10.87291,106.64909
83,10.87607,106.64112
84,10.96178,106.50380
85,10.649989,106.7304841
86,10.6761716,106.7451127
87,10.6875721,106.7428261
88,10.7116538,106.7019235
89,10.714298,106.6631923
90,10.7313511,106.6206686
91,10.7445915,106.6752191
92,10.7455707,106.7064792
93,10.747622,106.6750303
94,10.7482556,106.715946
95,10.7491067,106.5853054
96,10.749191,106.685305
97,10.752877,106.642714
98,10.7589763,106.6494745
99,10.759161,106.6990414
100,10.7614499,106.6420133
101,10.768798,106.646505
102,10.7765409,106.6465903
103,10.7874462,106.7638605
104,10.7876755,106.6516651
105,10.7878437,106.6255189
106,10.7923935,106.6317568
107,10.7930563,106.6576265
108,10.7935216,106.7308195
109,10.7955706,106.6509737
110,10.7972062,106.6908134
111,10.799383,106.710958
112,10.7999153,106.647468
113,10.8026217,106.7294374
114,10.8038012,106.6607354
115,10.8041914,106.6835928
116,10.8044957,106.8154007
117,10.809779,106.7030769
118,10.8157491,106.6684678
119,10.8185889,106.6315712
120,10.8188199,106.6948566
121,10.8292398,106.7029946
122,10.8362872,106.7555623
123,10.8455319,106.7867328
124,10.84718,106.8158443
125,10.8479017,106.6570057
126,10.8480322,106.6342958
127,10.8500943,106.7587655
128,10.8512714,106.6375694
129,10.9634647,106.4974254